Texte;Figure
Cette journée a duré une éternité.;Hyperbole
C'est un coin de verdure où chante une rivière.;Personnification
Tu n'as pas été malchanceux à ce jeu-là.;Litote
Pierre est rouge comme une pivoine.;Comparaison
Paris est tout petit, c'est là sa vraie grandeur.;Antithèse
Il est têtu comme une bourrique.;Comparaison
Des troupeaux d'autobus mugissants près de moi roulent.;Personnification
Elle a versé des torrents de larmes.;Hyperbole
Va, je ne te hais point.;Litote
Achille bondit comme un lion.;Comparaison
Je me meurs, je suis mort, je suis enterré.;Énumération
Candidese cacha du mieux qu’il put pendant cette boucherie héroïque.;Oxymore
La femme est une île.;Métaphore
Ce n'est pas donné.;Litote
Adieu veau, vache, cochon, couvée.;Énumération
Jours de lenteur, jours de pluie, Jours de miroirs brisés et d'aiguilles perdues.;Répétition
Le poète est semblable au prince des nuées.;Comparaison
Ma jeunesse ne fut qu’un ténébreux orage.;Métaphore
Les arbres dansaient sous le vent.;Personnification
Il est fort comme un lion.;Comparaison
Ce vieil homme est une coquille vide.;Métaphore
Il criait, pleurait, tremblait, suppliait.;Énumération
Je meurs de faim.;Hyperbole
Il nous a quittés.;Euphémisme
Ce n’est pas mauvais.;Litote
Il est monté au ciel.;Euphémisme
Une obscure clarté tombait des étoiles.;Oxymore
Elle aime le jour, il préfère la nuit.;Antithèse
